词语	词频	词性
——————————
漫威	39	名词-地名
电影	38	名词
一个	36	数词
英雄	25	名词-地名
十年	23	数词
复联	19	名词-机构团体名
时间	19	名词
钢铁侠	17	字符串
角色	17	名词
剧情	16	名词
超级	16	区别词
结局	14	名词
情怀	14	名词
一部	13	数词
故事	12	名词
观众	12	名词
宇宙	12	名词
真的	12	副词
粉丝	12	名词
复仇者	11	名词
谢谢	11	名词-人名
想	11	动词
美队	10	名词
完美	10	形容词
告别	10	动词
一场	10	数词
感谢	9	动词
雷神	9	名词-人名
系列	9	量词
结束	9	动词
爱	9	动词
没	9	动词
灭霸	9	动词
再见	9	动词
笑	8	动词
队长	8	名词
场	8	量词
罗素	8	名词-人名
逻辑	8	名词
史诗	8	名词-人名
MCU	8	英文
这是	8	代词
这是	8	动词
喜欢	7	动词
遗憾	7	形容词
三千	7	数词
I	7	字符串
好	7	形容词
拍	7	动词
来说	7	助词
兄弟	7	名词
人物	7	名词
铺垫	7	名词
平衡	7	形容词
这部	6	代词
家人	6	名词
联盟	6	简称略语
感动	6	动词
青春	6	名词-地名
感觉	6	名词
意义	6	名词
哭	6	动词
情感	6	名词
11	6	数词
彩蛋	6	名词
情绪	6	名词
穿越	6	动词
文戏	6	名词
21	6	数词
永远	6	副词
节奏	6	名词
最终	5	副词
黑寡妇	5	名词-人名
圆满	5	形容词
落幕	5	动词
小时	5	名词
带来	5	动词
生命	5	动词-名动词
反派	5	动词
场面	5	名词
零点	5	名词
终于	5	副词
电影院	5	名词
完	5	动词
吃	5	动词
蚁	5	名词-名词性语素
作品	5	名词
梗	5	动词
终章	4	数词
一生	4	数词
力量	4	名词
十一年	4	数词
句号	4	名词
我爱你	4	习用语
年前	4	时间词
三个	4	数词
篇	4	量词
点	4	数词
地球	4	名词
🙄	4	字符串
死	4	动词
10	4	数词
大战	4	名词-其他专名
谢幕	4	名词-人名
超英	4	名词-其他专名
足够	4	动词
东西	4	名词-地名
一群	4	数词
相遇	4	动词
终结	4	动词
一刻	4	数词
未来	4	时间词
片尾	4	数词
bug	4	英文
发现	4	动词
商业	4	名词
成功	4	形容词
接受	4	动词
声音	4	名词
来自	4	动词
走	4	动词
实在	4	动词
很难	4	副词
很难	4	形容词
本身	4	代词
无感	4	名词
自我	4	代词
影片	4	名词
细节	4	名词
托尼	3	名词-人名
回归	3	动词
卡特	3	名词
约会	3	名词
导演	3	动词
热泪盈眶	3	习用语
鹰眼	3	名词
惊艳	3	形容词
22	3	数词
影院	3	名词
影迷	3	动词-名动词
记忆	3	名词
集结	3	动词
牺牲	3	动词
确实	3	形容词-副形词
世代	3	时间词
拯救	3	动词
人生	3	名词
美好	3	形容词
凡人	3	名词
世界	3	名词
地方	3	名词
感情	3	名词
分	3	动词
水准	3	名词
新	3	形容词
后半段	3	时间词
算是	3	动词
来看	3	助词
赶上	3	副词
love	3	英文
you	3	英文
three	3	英文
times	3	英文
一集	3	数词
影响	3	动词-名动词
首映	3	动词
高潮	3	名词-人名
还要	3	连词
此生	3	时间词
爆米花	3	名词
真	3	副词
五年	3	时间词
发生	3	动词
回来	3	动词
堆砌	3	动词
拖沓	3	形容词
成	3	名词
狂欢	3	动词
震撼	3	动词
多年	3	数词
期待	3	动词
回顾	3	动词
过往	3	时间词
惊喜	3	形容词
所有人	3	名词
只能	3	动词
刻意	3	动词
自然	3	副词
宝石	3	名词-人名
疯狂	3	形容词
致敬	3	动词
刷	3	量词-数量词
回忆	3	动词
面对	3	动词
笑点	3	名词
离别	3	动词
女巫	3	名词
铁人	3	名词
平庸	3	形容词
史蒂夫	3	名词-人名
