词语	词频	词性
——————————
电影	38	名词
漫威	36	名词-地名
一个	30	数词
英雄	21	名词-地名
时间	20	名词
十年	20	数词
复联	18	名词-机构团体名
角色	17	名词
钢铁	16	名词
侠	16	名词-人名
一部	15	数词
剧情	14	名词
结局	12	名词
情怀	12	名词
完美	11	形容词
雷神	11	名词-人名
告别	11	动词
没	11	动词
超级	11	区别词
粉丝	11	名词
观众	10	名词
宇宙	10	名词
谢谢	10	名词-人名
故事	10	名词
美队	10	名词
想	10	动词
系列	9	量词
队长	9	名词
一场	9	数词
人物	9	名词
逻辑	9	名词
复仇者	8	名词
这部	8	代词
感谢	8	动词
结束	8	动词
爱	8	动词
真的	8	副词
这是	8	代词
这是	8	动词
青春	7	名词-地名
感觉	7	名词
�	7	字符串
拍	7	动词
来说	7	助词
灭霸	7	动词
喜欢	6	动词
家人	6	名词
三千	6	数词
笑	6	动词
好	6	形容词
意义	6	名词
场面	6	名词
彩蛋	6	名词
再见	6	动词
穿越	6	动词
情绪	6	名词
铺垫	6	名词
MCU	6	英文
节奏	6	名词
联盟	5	简称略语
最终	5	副词
黑寡妇	5	名词-人名
遗憾	5	形容词
小时	5	名词
I	5	字符串
带来	5	动词
感动	5	动词
10	5	数词
生命	5	动词-名动词
超英	5	名词-其他专名
反派	5	动词
情感	5	名词
11	5	数词
兄弟	5	名词
电影院	5	名词
完	5	动词
史诗	5	名词-人名
文戏	5	名词
21	5	数词
线	5	名词
作品	5	名词
永远	5	副词
平衡	5	形容词
年前	4	时间词
终章	4	数词
力量	4	名词
三个	4	数词
篇	4	量词
地球	4	名词
水准	4	名词
死	4	动词
大战	4	名词-其他专名
哭	4	动词
足够	4	动词
吃	4	动词
罗素	4	名词-人名
片尾	4	数词
未来	4	时间词
bug	4	英文
发现	4	动词
只能	4	动词
场	4	量词
终于	4	副词
实在	4	动词
接受	4	动词
东西	4	名词-地名
蚁	4	名词-名词性语素
一群	4	数词
相遇	4	动词
无感	4	名词
不到	4	动词
商业	4	名词
自我	4	代词
影片	4	名词
梗	4	动词
豆瓣	4	名词
影院	3	名词
落幕	3	动词
影迷	3	动词-名动词
记忆	3	名词
托尼	3	名词-人名
回归	3	动词
卡特	3	名词
约会	3	名词
热泪盈眶	3	习用语
惊艳	3	形容词
十一年	3	数词
22	3	数词
圆满	3	形容词
句号	3	名词
我爱你	3	习用语
牺牲	3	动词
确实	3	形容词-副形词
世代	3	时间词
拯救	3	动词
人生	3	名词
美好	3	形容词
感情	3	名词
分	3	动词
世界	3	名词
地方	3	名词
后半段	3	时间词
算是	3	动词
谢幕	3	名词-人名
来看	3	助词
赶上	3	副词
一集	3	数词
影响	3	动词-名动词
五星	3	名词-其他专名
爆米花	3	名词
真	3	副词
惊喜	3	形容词
拖沓	3	形容词
成	3	名词
堆砌	3	动词
首映	3	动词
所有人	3	名词
震撼	3	动词
高潮	3	名词-人名
还要	3	连词
此生	3	时间词
烂	3	动词
五年	3	时间词
回来	3	动词
终结	3	动词
一刻	3	数词
热血	3	名词
期待	3	动词
煽情	3	动词
本身	3	代词
生死	3	动词
动作	3	名词
刷	3	量词-数量词
宝石	3	名词-人名
致敬	3	动词
成功	3	形容词
悖论	3	名词
混乱	3	形容词
刻意	3	动词
史蒂夫	3	名词-人名
圆	3	名词
终究	3	副词
平庸	3	形容词
走	3	动词
无视	3	动词
串联	3	名词-地名
达	3	动词
时代	3	名词
美国	3	名词-地名
观影	3	名词
细节	3	名词
情节	3	名词
羡慕	2	动词
陪伴	2	名词
选择	2	动词
责任	2	名词
错过	2	动词
70	2	数词
葬礼	2	名词
送	2	动词
